26597544,461201
2054491,531884
6374458,1097710
1036577,449716
1229671,455203
1011663,444176
3439974,639985
6025966,459654
1640134,496649
1267037,527393
861839,403527
1164002,433878
6421215,1165437
1094549,456254
1695719,928567
917602,373254
1015581,472235
2055920,1089990
858759,398692
4828958,2855331
1697182,873122
1794541,822335
1789288,506167
898137,481586
1107692,445724
2023355,1224129
821364,371933
2611714,2172924
989886,458061
792996,339675
1075158,420235
1788189,304141
2249585,1101960
803651,404203
1084250,460206
854540,413142
759801,350793
978086,476661
962683,540320
1855102,313204
793716,358409
1496410,1045742
1804889,453362
1217921,507675
967345,439669
1460111,331503
1993700,363496
1716122,917702
718571,303317
1773562,1330465
1397240,589132
1184625,552357
871467,366976
1423182,939754
2022473,576883
1021423,455773
968601,463998
770169,324358
896634,401361
728200,348264
681520,296431
742700,342531
1636405,887827
6769051,5199286
1345871,474893
964234,430614
2664590,1084967
3102130,542545
5793134,478017
2126003,853379
1947036,761432
7298816,5686048
861966,452044
3124043,980005
2399953,1357360
2806869,556766
9649894,8293261
6245372,432482
1742563,1077656
3849362,913056
805178,393130
777646,369826
1759535,1198512
2229935,638501
671492,299773
1377650,818824
782042,375147
7743289,6620181
1880782,1491108
1346368,786831
1676957,537236
837391,344700
2111174,1585894
945334,470227
1569362,1170652
947263,508875
973805,573129
1115012,505468
1769961,540006
1182197,511096
1290461,497149
1583240,520608
975436,566030
742202,347577
5684578,3650399
1180364,548087
1463801,774611
1432221,633576
2123667,1379312
698910,306761
1555490,787899
1571506,1030990
865607,379538
763708,331088
779265,377864
2187821,549307
2846277,835038
4286221,1837148
2175461,420805
1545733,920147
1809848,457191
2883379,373067
799028,382428
4471470,3218899
2291115,1736226
867444,399736
1694290,1114948
2058520,591493
844692,448791
705067,314399
769940,368484
1434160,692504
1393661,458816
962617,426177
1730207,1226228
2881553,1085667
1992821,984716
1795212,764434
2910669,325467
698958,305986
774625,360555
1380875,806356
1761248,608525
770020,362794
1661213,936439
3124381,1567617
5051365,2135552
5417410,1941712
6504108,597584
737940,355905
735332,335090
13950679,11034828
15132533,936994
12087857,685975
2949427,597674
2871818,1636819
1128533,457583
6443002,436015
1861129,629861
2181679,1429808
10835294,625328
2162797,1012225
3370341,2384701
3739510,1735107
1350494,819538
1660331,515106
1050715,505196
1075860,467512
1663518,427200
3862883,3292700
4256036,1770547
3408895,705222
4402542,2036900
3145026,2410431
3438935,2120087
3768455,1850835
2215636,1163764
2292514,1347570
3246979,439368
3146030,1857691
3126423,1973344
3129844,2042383
3154420,2107012
4313708,3661157
4564602,3731025
4813257,3717910
1228470,547541
822313,416267
1791388,1200510
2476083,1073759
1769911,623309
2079242,1401326
1198806,830766
1727542,547782
2720357,2229259
2131447,1647041
815644,341078
2022349,1353568
1044544,423425
1383177,342540
821704,409685
3030023,658832
3105091,318417
2184044,1669026
1582485,652548
846536,476686
719964,348400
710980,351549
1706382,1168626
1646210,680225
765484,389167
1515254,941239
1487299,508007
1142320,597701
1935609,657857
2732176,661854
696013,320360
3441398,2671822
3431019,2732111
905581,525978
1293708,754164
1625339,545619
2365432,1471540
2371910,1094859
1384579,854444
1673582,634621
6932913,4383082
998076,458573
1450992,906859
2548813,2016706
1370733,826223
1658745,551854
10738533,8862532
2807267,1074073
2768124,834207
3175514,2231440
738619,343987
1476017,857682
1372529,837964
1674999,372183
1709264,1153251
2920602,352151
1578316,859554
1228564,709007
3109880,1840269
1718884,1365307
1400352,961440
832862,410421
695888,329039
760732,346160
875667,336313
1263837,352637
647374,301333
1649104,467634
659454,300365
1435834,1063422
767151,405252
1412819,913680
658423,306300
710583,330640
879594,383745
1274475,331148
650227,298504
1298688,839754
783103,414258
1235947,675344
2057593,1291889
734896,354569
1537888,842783
2086794,1480188
1420950,895222
753806,383846
1072348,474504
4848584,4164726
806535,387088
1229268,710759
1587472,541639
888960,481553
865711,396523
753355,386897
738503,345954
662736,294492
670243,310894
660538,302491
654806,304293
1023993,479839
1673465,517634
765281,400900
778120,386007
723083,325886
706721,362319
2907047,2538309
2274213,1736141
3935814,916277
851132,348184
1359117,734689
1392944,813367
892695,530891
779546,384610
638965,291250
890515,547600
1324712,852675
1153881,635411
1441957,495119
714475,346070
663304,306374
712675,355944
1917840,1528031
719849,363074
1351432,795798
2392293,1516686
1328373,861030
1432236,792099
2038773,1425735
658055,323455
1415813,735438
1904172,1327513
1478909,860036
2088041,364867
734301,387239
1565951,285088
702542,364950
727638,376637
1587786,328535
1483831,1042396
2493169,297034
713110,378626
667192,331851
1517001,285882
866896,470055
2499821,887408
670155,333245
1480672,295696
1235982,704578
1616709,945843
2517363,289332
3419823,288809
683082,359726
2128952,835479
1447044,930648
2977962,832630
661566,301879
676030,348945
1671939,439733
1211230,792381
2273702,348461
633055,293921
702313,368856
2396759,865969
873631,438385
1712633,385047
7950123,484127
2292193,1091106
2604724,808376
2743616,1949486
1226897,678780
1525743,467943
1675933,584174
1954239,1322447
970736,521790
4113453,3217560
3116721,2391509
3678344,1755423
4185971,2721542
1995060,497062
4268062,2257898
4571389,2342079
1333098,977628
6066808,1086913
2613241,879917
2960575,2047017
3898755,3276960
5676103,4010709
1254175,820772
2388067,908785
2364667,1115180
1361152,654562
1841304,1255778
750908,399353
1600881,865815
1613555,977471
1396746,747981
1432542,850389
1470114,777184
2068302,1467501
1611870,713171
1861247,726535
2526601,1186254
2862853,1804403
1143992,379397
